cidade,ano,mes,dia,data,volume,data_importacao
Goiânia,2024,3,30,2024-03-30,19.0,2024/11/29
Goiânia,2024,3,31,2024-03-31,0.0,2024/11/29
Goiânia,2024,4,1,2024-04-01,0.0,2024/11/29
Goiânia,2024,4,2,2024-04-02,0.0,2024/11/29
Goiânia,2024,4,3,2024-04-03,1.2,2024/11/29
Goiânia,2024,4,4,2024-04-04,82.19999999999999,2024/11/29
Goiânia,2024,4,5,2024-04-05,2.8,2024/11/29
Goiânia,2024,4,6,2024-04-06,0.2,2024/11/29
Goiânia,2024,4,7,2024-04-07,9.6,2024/11/29
Goiânia,2024,4,8,2024-04-08,0.2,2024/11/29
Goiânia,2024,4,9,2024-04-09,6.2,2024/11/29
Goiânia,2024,4,10,2024-04-10,38.4,2024/11/29
Goiânia,2024,4,11,2024-04-11,5.0,2024/11/29
Goiânia,2024,4,12,2024-04-12,1.8,2024/11/29
Goiânia,2024,4,13,2024-04-13,0.0,2024/11/29
Goiânia,2024,4,14,2024-04-14,0.0,2024/11/29
Goiânia,2024,4,15,2024-04-15,0.0,2024/11/29
Goiânia,2024,4,16,2024-04-16,0.0,2024/11/29
Goiânia,2024,4,17,2024-04-17,0.0,2024/11/29
Goiânia,2024,4,18,2024-04-18,0.2,2024/11/29
Goiânia,2024,4,19,2024-04-19,0.0,2024/11/29
Goiânia,2024,4,20,2024-04-20,0.6000000000000001,2024/11/29
Goiânia,2024,4,21,2024-04-21,0.0,2024/11/29
Goiânia,2024,4,22,2024-04-22,0.0,2024/11/29
Goiânia,2024,4,23,2024-04-23,0.0,2024/11/29
Goiânia,2024,4,24,2024-04-24,5.0,2024/11/29
Goiânia,2024,4,25,2024-04-25,0.8,2024/11/29
Goiânia,2024,4,26,2024-04-26,0.0,2024/11/29
Goiânia,2024,4,27,2024-04-27,0.0,2024/11/29
Goiânia,2024,4,28,2024-04-28,0.0,2024/11/29
Goiânia,2024,4,29,2024-04-29,0.0,2024/11/29
Goiânia,2024,4,30,2024-04-30,0.0,2024/11/29
Goiânia,2024,5,1,2024-05-01,0.0,2024/11/29
Goiânia,2024,5,2,2024-05-02,0.0,2024/11/29
Goiânia,2024,5,3,2024-05-03,0.0,2024/11/29
Goiânia,2024,5,4,2024-05-04,0.0,2024/11/29
Goiânia,2024,5,5,2024-05-05,0.0,2024/11/29
Goiânia,2024,5,6,2024-05-06,0.0,2024/11/29
Goiânia,2024,5,7,2024-05-07,0.0,2024/11/29
Goiânia,2024,5,8,2024-05-08,0.0,2024/11/29
Goiânia,2024,5,9,2024-05-09,0.0,2024/11/29
Goiânia,2024,5,10,2024-05-10,0.0,2024/11/29
Goiânia,2024,5,11,2024-05-11,0.0,2024/11/29
Goiânia,2024,5,12,2024-05-12,0.0,2024/11/29
Goiânia,2024,5,13,2024-05-13,0.0,2024/11/29
Goiânia,2024,5,14,2024-05-14,0.0,2024/11/29
Goiânia,2024,5,15,2024-05-15,0.0,2024/11/29
Goiânia,2024,5,16,2024-05-16,0.0,2024/11/29
Goiânia,2024,5,17,2024-05-17,0.0,2024/11/29
Goiânia,2024,5,18,2024-05-18,0.0,2024/11/29
Goiânia,2024,5,19,2024-05-19,0.0,2024/11/29
Goiânia,2024,5,20,2024-05-20,0.0,2024/11/29
Goiânia,2024,5,21,2024-05-21,0.0,2024/11/29
Goiânia,2024,5,22,2024-05-22,0.0,2024/11/29
Goiânia,2024,5,23,2024-05-23,0.0,2024/11/29
Goiânia,2024,5,24,2024-05-24,0.0,2024/11/29
Goiânia,2024,5,25,2024-05-25,0.0,2024/11/29
Goiânia,2024,5,26,2024-05-26,0.0,2024/11/29
Goiânia,2024,5,27,2024-05-27,0.0,2024/11/29
Goiânia,2024,5,28,2024-05-28,0.0,2024/11/29
Goiânia,2024,5,29,2024-05-29,0.0,2024/11/29
Goiânia,2024,5,30,2024-05-30,0.2,2024/11/29
Goiânia,2024,5,31,2024-05-31,0.0,2024/11/29
Goiânia,2024,6,1,2024-06-01,0.0,2024/11/29
Goiânia,2024,6,2,2024-06-02,0.0,2024/11/29
Goiânia,2024,6,3,2024-06-03,0.0,2024/11/29
Goiânia,2024,6,4,2024-06-04,0.0,2024/11/29
Goiânia,2024,6,5,2024-06-05,0.0,2024/11/29
Goiânia,2024,6,6,2024-06-06,0.0,2024/11/29
Goiânia,2024,6,7,2024-06-07,0.0,2024/11/29
Goiânia,2024,6,8,2024-06-08,0.0,2024/11/29
Goiânia,2024,6,9,2024-06-09,0.0,2024/11/29
Goiânia,2024,6,10,2024-06-10,0.0,2024/11/29
Goiânia,2024,6,11,2024-06-11,0.0,2024/11/29
Goiânia,2024,6,12,2024-06-12,0.0,2024/11/29
Goiânia,2024,6,13,2024-06-13,0.0,2024/11/29
Goiânia,2024,6,14,2024-06-14,0.0,2024/11/29
Goiânia,2024,6,15,2024-06-15,0.0,2024/11/29
Goiânia,2024,6,16,2024-06-16,0.0,2024/11/29
Goiânia,2024,6,17,2024-06-17,0.0,2024/11/29
Goiânia,2024,6,18,2024-06-18,0.0,2024/11/29
Goiânia,2024,6,19,2024-06-19,0.0,2024/11/29
Goiânia,2024,6,20,2024-06-20,0.0,2024/11/29
Goiânia,2024,6,21,2024-06-21,0.0,2024/11/29
Goiânia,2024,6,22,2024-06-22,0.0,2024/11/29
Goiânia,2024,6,23,2024-06-23,0.0,2024/11/29
Goiânia,2024,6,24,2024-06-24,0.0,2024/11/29
Goiânia,2024,6,25,2024-06-25,0.0,2024/11/29
Goiânia,2024,6,26,2024-06-26,0.0,2024/11/29
Goiânia,2024,6,27,2024-06-27,0.0,2024/11/29
Goiânia,2024,6,28,2024-06-28,0.0,2024/11/29
