cidade,ano,quantidade,data_importacao
Mundo Novo,2022,6189,2024/11/29
Mutunópolis,2022,3564,2024/11/29
Nazário,2022,8189,2024/11/29
Nerópolis,2022,31932,2024/11/29
Niquelândia,2022,34964,2024/11/29
Nova América,2022,2337,2024/11/29
Nova Aurora,2022,2101,2024/11/29
Nova Crixás,2022,12815,2024/11/29
Nova Glória,2022,8310,2024/11/29
Nova Iguaçu de Goiás,2022,3010,2024/11/29
Nova Roma,2022,3076,2024/11/29
Nova Veneza,2022,9481,2024/11/29
Novo Brasil,2022,3527,2024/11/29
Novo Gama,2022,103804,2024/11/29
Novo Planalto,2022,3716,2024/11/29
Orizona,2022,16399,2024/11/29
Ouro Verde de Goiás,2022,4057,2024/11/29
Ouvidor,2022,7200,2024/11/29
Padre Bernardo,2022,34967,2024/11/29
Palestina de Goiás,2022,3132,2024/11/29
Palmeiras de Goiás,2022,31858,2024/11/29
Palmelo,2022,2259,2024/11/29
Palminópolis,2022,3851,2024/11/29
Panamá,2022,2455,2024/11/29
Paranaiguara,2022,7607,2024/11/29
Paraúna,2022,10659,2024/11/29
Perolândia,2022,2964,2024/11/29
Petrolina de Goiás,2022,9573,2024/11/29
Pilar de Goiás,2022,2328,2024/11/29
Piracanjuba,2022,24883,2024/11/29
Piranhas,2022,11712,2024/11/29
Pirenópolis,2022,26690,2024/11/29
Pires do Rio,2022,32373,2024/11/29
Planaltina,2022,105031,2024/11/29
Pontalina,2022,18309,2024/11/29
Porangatu,2022,44317,2024/11/29
Porteirão,2022,4070,2024/11/29
Portelândia,2022,3280,2024/11/29
Posse,2022,34914,2024/11/29
Professor Jamil,2022,3649,2024/11/29
Quirinópolis,2022,48447,2024/11/29
Rialma,2022,12165,2024/11/29
Rianápolis,2022,3980,2024/11/29
Rio Quente,2022,3864,2024/11/29
Rio Verde,2022,225696,2024/11/29
Rubiataba,2022,19788,2024/11/29
Sanclerlândia,2022,7918,2024/11/29
Santa Bárbara de Goiás,2022,6149,2024/11/29
Santa Cruz de Goiás,2022,3002,2024/11/29
Santa Fé de Goiás,2022,4951,2024/11/29
Santa Helena de Goiás,2022,38492,2024/11/29
Santa Isabel,2022,3538,2024/11/29
Santa Rita do Araguaia,2022,5924,2024/11/29
Santa Rita do Novo Destino,2022,2689,2024/11/29
